State,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Andhra Pradesh,2591,356,6768,6165,4014,2784,3794,2188,3672,1270,2457
Arunachal Pradesh,22,8,0,16,17,16,29,26,57,59,52
Assam,311,227,112,115,139,181,155,108,60,208,198
Bihar,429,856,579,876,1283,697,876,573,340,239,159
Chhattisgarh,963,1294,1131,1686,1434,1829,1554,1236,1072,1047,513
Goa,62,49,63,90,76,38,33,22,18,31,1
Gujarat,0,1639,1538,1076,1332,1270,605,676,1033,544,1380
Haryana,296,396,416,416,366,356,346,321,304,410,1217
Himachal Pradesh,1311,1748,203,1788,835,294,0,0,0,0,5
Jammu & Kashmir,663,996,823,1244,1206,1254,1997,1574,1264,1278,690
Jharkhand,512,82,70,283,119,246,388,193,375,360,539
Karnataka,8999,5823,5349,6482,5519,4127,4127,7305,3247,11124,561
Kerala,243,236,215,203,199,148,85,71,76,81,83
Madhya Pradesh,3189,1948,3574,4624,4478,2879,3311,5237,5632,5690,2027
Maharashtra,4371,3808,3029,2229,6907,4087,3927,3723,3892,2994,352
Manipur,497,436,229,394,541,741,486,689,615,612,98
Meghalaya,19,9,9,31,110,201,25,33,38,6,3
Mizoram,0,0,0,0,18,0,0,0,0,0,0
Nagaland,54,0,0,0,NA,8,15,10,0,0,0
Odisha,471,1310,1116,1546,1242,462,331,509,590,988,1201
Punjab,1265,790,706,557,620,176,133,157,391,52,38
Rajasthan,738,342,491,368,606,390,635,983,832,1152,1049
Sikkim,135,115,107,72,37,53,0,0,0,0,0
Tamil Nadu,1361,1725,1704,3517,3481,3452,2179,4003,3005,2488,4313
Telangana,NA,NA,NA,NA,NA,NA,NA,NA,416,2179,678
Tripura,0,0,363,444,449,350,197,186,195,183,5
Uttarakhand,550,572,456,476,193,172,91,153,2,67,0
Uttar Pradesh,1447,1283,2218,2580,2653,2021,2898,3218,2711,2382,2619
West Bengal,1203,396,546,364,0,764,1356,782,496,530,764
Andaman & Nicobar Islands,7,19,9,13,0,0,0,0,0,0,0
Chandigarh,0,0,0,0,0,0,0,0,0,0,0
Dadra & Nagar Haveli,0,0,0,0,NA,29,0,0,0,0,27
Daman & Diu,0,0,0,0,0,0,0,0,0,0,0
Delhi ,0,0,0,0,NA,NA,0,NA,NA,107,149
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0
Puducherry,0,0,0,0,0,NA,0,0,0,0,0
All India,31709,26463,31824,37655,37874,29025,29573,33976,30333,36081,21178
