Year,Total Number of Road Accidents (in numbers),Total Number of Persons Killed (in numbers),Total Number of Persons Injured (in numbers),Population of India (in thousands),Total Number of Registered Motor Vehicles (in thousands),Road Length (in kms),Number of Accidents per Lakh Population,Number of Accidents per Ten Thousand Vehicles,Number of Accidents per Ten Thousand Kms of Roads,Number of Persons Killed Per Lakh Population,Number of Persons Killed Per Ten Thousand Vehicles,Number of Persons Killed per Ten Thousand Kms of Roads,Number of Persons Injured per Lakh Population,Number of Persons Injured Per Ten Thousand Vehicles,Number of Persons Injured Per Ten Thousand Kms of Roads
1970,114100,14500,70100,539000,1401,1188728,21.2,814.4,959.8,2.7,103.5,122,13,500,589.7
1980,153200,24000,109100,673000,4521,1491873,22.8,338.9,1026.9,3.6,53.1,160.9,16.2,241,731.3
1990,282600,54100,244100,835000,19152,1983867,33.8,147.6,1424.5,6.5,28.2,272.7,29.2,127,1230.4
2000,391449,78911,399265,1014825,48857,3325765,38.6,80.1,1177,7.8,16.2,237.3,39.3,81.7,1200.5
2001,405637,80888,405216,1028610,54991,3373520,39.4,73.8,1202.4,7.9,14.7,239.8,39.4,73.7,1201.2
2002,407497,84674,408711,1045547,58924,3426603,39,69.2,1189.2,8.1,14.4,247.1,39.1,69.4,1192.8
2003,406726,85998,435122,1062388,67007,3528654,38.3,60.7,1152.6,8.1,12.8,243.7,41,64.9,1233.1
2004,429910,92618,464521,1079117,72718,3621507,39.8,59.1,1187.1,8.6,12.7,255.7,43,63.9,1282.7
2005,439255,94968,465282,1095722,81502,3809156,40.1,53.9,1153.2,8.7,11.7,249.3,42.5,57.1,1221.5
2006,460920,105749,496481,1112186,89618,3880651,41.4,51.4,1187.7,9.5,11.8,272.5,44.6,55.4,1279.4
2007,479216,114444,513340,1128521,96707,4016401,42.5,49.6,1193.1,10.1,11.8,284.9,45.5,53.1,1278.1
2008,484704,119860,523193,1144734,105353,4109592,42.3,46,1179.4,10.5,11.4,291.7,45.7,49.7,1273.1
2009,486384,125660,515458,1160813,114951,4471510,41.9,42.3,1087.7,10.8,10.9,281,44.4,44.8,1152.8
2010,499628,134513,527512,1176742,127746,4582439,42.5,39.1,1090.3,11.4,10.5,293.5,44.8,41.3,1151.2
2011,497686,142485,511394,1210193,141866,4676838,41.1,35.1,1064.2,11.8,10,304.7,42.3,36,1093.5
2012,490383,138258,509667,1230029,159491,4865394,40.6,30.7,1007.9,11.4,8.7,284.2,42.2,32,1047.7
2013,486476,137572,494893,1250189,181508,5231922,39.8,26.8,929.8,11.2,7.6,262.9,40.4,27.3,945.9
2014,489400,139671,493474,1238887,190704,5402486,39.5,25.66,905.88,11.27,7.32,258.53,39.83,25.88,913.42
2015,501423,146133,500279,1254019,210023,5472144,39.99,23.87,916.32,11.65,6.96,267.05,39.89,23.82,914.23
2016,480652,150785,494624,1268961,NA,NA,37.88,NA,NA,11.88,NA,NA,38.98,NA,NA
