State_UT,Year,Accidents_clean,Accidents_prev,Acc_Per_Lakh_Pop,Acc_Per_10k_Veh,Acc_Per_10k_Km,high_risk
Andaman and Nicobar Islands,2016,238.0,234.0,43.19,21.42,1594.32,1
Andaman and Nicobar Islands,2017,189.0,238.0,33.57,15.55,1168.92,1
Andaman and Nicobar Islands,2018,254.0,189.0,44.17,19.37,1415.83,1
Andaman and Nicobar Islands,2019,230.0,254.0,39.12,16.31,1415.83,1
Andaman and Nicobar Islands,2022,141.0,230.0,41.155,17.84,1415.83,1
Andhra Pradesh,2016,24888.0,24681.5,28.17,28.52,1427.34,1
Andhra Pradesh,2017,25727.0,24888.0,28.9,26.73,1457.84,1
Andhra Pradesh,2018,24475.0,25727.0,27.29,22.67,1121.73,1
Andhra Pradesh,2019,21992.0,24475.0,24.35,18.34,1427.34,1
Andhra Pradesh,2022,22099.0,21992.0,27.73,24.700000000000003,1427.34,1
Arunachal Pradesh,2016,249.0,245.0,18.96,9.4,81.13,1
Arunachal Pradesh,2017,241.0,249.0,18.16,13.4,65.09,1
Arunachal Pradesh,2018,277.0,241.0,20.66,13.2,54.79,1
Arunachal Pradesh,2019,237.0,277.0,17.5,10.3,65.09,1
Arunachal Pradesh,2022,215.0,237.0,18.56,11.75,65.09,1
Assam,2016,7435.0,7841.5,22.91,26.39,225.63,1
Assam,2017,7170.0,7435.0,21.85,23.67,212.27,1
Assam,2018,8248.0,7170.0,24.87,23.96,240.04,1
Assam,2019,8350.0,8248.0,24.91,21.21,225.63,1
Assam,2022,7739.0,8350.0,23.89,23.815,225.63,1
Bihar,2016,8222.0,9227.5,7.91,15.0,398.19,1
Bihar,2017,8855.0,8222.0,8.43,14.18,422.57,1
Bihar,2018,9600.0,8855.0,9.04,13.04,330.38,1
Bihar,2019,10007.0,9600.0,9.33,11.7,398.19,1
Bihar,2022,12297.0,10007.0,8.735,13.61,398.19,1
Chandigarh,2016,428.0,329.0,24.04,5.11,1517.21,1
Chandigarh,2017,342.0,428.0,18.4,3.87,1212.42,1
Chandigarh,2018,316.0,342.0,16.28,3.32,1244.58,1
Chandigarh,2019,305.0,316.0,15.04,3.02,1244.58,1
Chandigarh,2022,238.0,305.0,17.34,3.595,1244.58,1
Chhattisgarh,2016,13580.0,13722.0,52.47,28.23,1417.4,1
Chhattisgarh,2017,13563.0,13580.0,51.79,25.87,1386.18,1
Chhattisgarh,2018,13864.0,13563.0,52.34,23.93,1351.56,1
Chhattisgarh,2019,13899.0,13864.0,51.9,21.8,1386.18,1
Chhattisgarh,2022,13524.0,13899.0,52.120000000000005,24.9,1386.18,1
Dadra and Nagar Haveli and Daman and Diu,2016,71.0,71.0,21.52,6.73,1432.58,1
Dadra and Nagar Haveli and Daman and Diu,2017,79.0,71.0,22.97,6.8,1853.15,1
Dadra and Nagar Haveli and Daman and Diu,2018,80.0,67.0,17.7,6.81,673.97,1
Dadra and Nagar Haveli and Daman and Diu,2019,69.0,76.0,18.45,6.8,1432.58,1
Dadra and Nagar Haveli and Daman and Diu,2022,175.0,71.0,19.985,6.8,1432.58,1
Goa,2016,4304.0,3813.0,217.7,37.16,2679.44,1
Goa,2017,3917.0,4304.0,193.62,31.62,2351.28,1
Goa,2018,3709.0,3917.0,179.35,27.98,1993.34,1
Goa,2019,3440.0,3709.0,162.49,24.54,2351.28,1
Goa,2022,3066.0,3440.0,186.485,29.8,2351.28,1
Gujarat,2016,21859.0,18925.0,34.79,10.74,1220.19,1
Gujarat,2017,19081.0,21859.0,30.03,8.66,1054.63,1
Gujarat,2018,18769.0,19081.0,29.23,7.88,930.35,1
Gujarat,2019,17046.0,18769.0,26.27,6.76,1054.63,1
Gujarat,2022,16549.0,17046.0,29.630000000000003,8.27,1054.63,1
Haryana,2016,11234.0,11236.0,40.89,13.01,2317.14,1
Haryana,2017,11258.0,11234.0,40.4,12.01,1383.29,1
Haryana,2018,11238.0,11258.0,39.78,14.53,2246.66,1
Haryana,2019,10944.0,11238.0,38.22,12.73,2246.66,1
Haryana,2022,11876.0,10944.0,40.09,12.87,2246.66,1
Himachal Pradesh,2016,3168.0,3112.0,44.65,26.95,568.16,1
Himachal Pradesh,2017,3114.0,3168.0,43.55,22.97,495.76,1
Himachal Pradesh,2018,3110.0,3114.0,43.16,20.8,502.43,1
Himachal Pradesh,2019,2873.0,3110.0,39.58,17.57,502.43,1
Himachal Pradesh,2022,2484.0,2873.0,43.355,21.885,502.43,1
Jammu and Kashmir,2016,5501.0,5710.0,44.3,40.28,1106.47,1
Jammu and Kashmir,2017,5624.0,5501.0,44.83,37.22,887.27,1
Jammu and Kashmir,2018,5978.0,5624.0,47.2,35.71,550.07,1
